"Month;""Building permits"""
2010-01-01 1st Half-Year 2010:00:00;11308
2010-02-01 1st Half-Year 2010:00:00;12604
2010-03-01 1st Half-Year 2010:00:00;15869
2010-04-01 1st Half-Year 2010:00:00;14830
2010-05-01 1st Half-Year 2010:00:00;16261
2010-06-01 1st Half-Year 2010:00:00;18378
2010-07-01 2nd Half-Year 2010:00:00;18850
2010-08-01 2nd Half-Year 2010:00:00;18436
2010-09-01 2nd Half-Year 2010:00:00;17046
2010-10-01 2nd Half-Year 2010:00:00;17228
2010-11-01 2nd Half-Year 2010:00:00;15628
2010-12-01 2nd Half-Year 2010:00:00;14864
2011-01-01 1st Half-Year 2011:00:00;13541
2011-02-01 1st Half-Year 2011:00:00;14689
2011-03-01 1st Half-Year 2011:00:00;18748
2011-04-01 1st Half-Year 2011:00:00;17420
2011-05-01 1st Half-Year 2011:00:00;20694
2011-06-01 1st Half-Year 2011:00:00;18576
2011-07-01 2nd Half-Year 2011:00:00;18991
2011-08-01 2nd Half-Year 2011:00:00;18890
2011-09-01 2nd Half-Year 2011:00:00;17578
2011-10-01 2nd Half-Year 2011:00:00;17867
2011-11-01 2nd Half-Year 2011:00:00;16819
2011-12-01 2nd Half-Year 2011:00:00;19336
2012-01-01 1st Half-Year 2012:00:00;12480
2012-02-01 1st Half-Year 2012:00:00;13420
2012-03-01 1st Half-Year 2012:00:00;18081
2012-04-01 1st Half-Year 2012:00:00;16449
2012-05-01 1st Half-Year 2012:00:00;20727
2012-06-01 1st Half-Year 2012:00:00;20997
2012-07-01 2nd Half-Year 2012:00:00;20731
2012-08-01 2nd Half-Year 2012:00:00;19753
2012-09-01 2nd Half-Year 2012:00:00;17891
2012-10-01 2nd Half-Year 2012:00:00;17086
2012-11-01 2nd Half-Year 2012:00:00;15572
2012-12-01 2nd Half-Year 2012:00:00;15067
2013-01-01 1st Half-Year 2013:00:00;14175
2013-02-01 1st Half-Year 2013:00:00;14453
2013-03-01 1st Half-Year 2013:00:00;16621
2013-04-01 1st Half-Year 2013:00:00;19356
2013-05-01 1st Half-Year 2013:00:00;18393
2013-06-01 1st Half-Year 2013:00:00;19159
2013-07-01 2nd Half-Year 2013:00:00;22077
2013-08-01 2nd Half-Year 2013:00:00;19137
2013-09-01 2nd Half-Year 2013:00:00;18748
2013-10-01 2nd Half-Year 2013:00:00;18186
2013-11-01 2nd Half-Year 2013:00:00;15748
2013-12-01 2nd Half-Year 2013:00:00;16019
2014-01-01 1st Half-Year 2014:00:00;15221
2014-02-01 1st Half-Year 2014:00:00;15202
2014-03-01 1st Half-Year 2014:00:00;16923
2014-04-01 1st Half-Year 2014:00:00;18285
2014-05-01 1st Half-Year 2014:00:00;18973
2014-06-01 1st Half-Year 2014:00:00;18484
2014-07-01 2nd Half-Year 2014:00:00;20450
2014-08-01 2nd Half-Year 2014:00:00;17609
2014-09-01 2nd Half-Year 2014:00:00;17715
2014-10-01 2nd Half-Year 2014:00:00;18486
2014-11-01 2nd Half-Year 2014:00:00;15623
2014-12-01 2nd Half-Year 2014:00:00;16286
2015-01-01 1st Half-Year 2015:00:00;14224
2015-02-01 1st Half-Year 2015:00:00;14221
2015-03-01 1st Half-Year 2015:00:00;18334
2015-04-01 1st Half-Year 2015:00:00;18359
2015-05-01 1st Half-Year 2015:00:00;17919
2015-06-01 1st Half-Year 2015:00:00;20177
2015-07-01 2nd Half-Year 2015:00:00;21419
2015-08-01 2nd Half-Year 2015:00:00;20610
2015-09-01 2nd Half-Year 2015:00:00;19476
2015-10-01 2nd Half-Year 2015:00:00;19780
2015-11-01 2nd Half-Year 2015:00:00;16849
2015-12-01 2nd Half-Year 2015:00:00;19230
2016-01-01 1st Half-Year 2016:00:00;17148
2016-02-01 1st Half-Year 2016:00:00;17759
2016-03-01 1st Half-Year 2016:00:00;19804
2016-04-01 1st Half-Year 2016:00:00;20955
2016-05-01 1st Half-Year 2016:00:00;19742
2016-06-01 1st Half-Year 2016:00:00;21309
2016-07-01 2nd Half-Year 2016:00:00;20510
2016-08-01 2nd Half-Year 2016:00:00;19970
2016-09-01 2nd Half-Year 2016:00:00;19177
2016-10-01 2nd Half-Year 2016:00:00;19302
2016-11-01 2nd Half-Year 2016:00:00;18218
2016-12-01 2nd Half-Year 2016:00:00;19979
2017-01-01 1st Half-Year 2017:00:00;14958
2017-02-01 1st Half-Year 2017:00:00;15800
2017-03-01 1st Half-Year 2017:00:00;19359
2017-04-01 1st Half-Year 2017:00:00;17843
2017-05-01 1st Half-Year 2017:00:00;20529
2017-06-01 1st Half-Year 2017:00:00;20229
2017-07-01 2nd Half-Year 2017:00:00;20676
2017-08-01 2nd Half-Year 2017:00:00;20205
2017-09-01 2nd Half-Year 2017:00:00;18108
2017-10-01 2nd Half-Year 2017:00:00;18061
2017-11-01 2nd Half-Year 2017:00:00;17038
2017-12-01 2nd Half-Year 2017:00:00;19114
2018-01-01 1st Half-Year 2018:00:00;16174
2018-02-01 1st Half-Year 2018:00:00;15510
2018-03-01 1st Half-Year 2018:00:00;18001
2018-04-01 1st Half-Year 2018:00:00;19123
2018-05-01 1st Half-Year 2018:00:00;18963
2018-06-01 1st Half-Year 2018:00:00;19993
2018-07-01 2nd Half-Year 2018:00:00;22084
2018-08-01 2nd Half-Year 2018:00:00;19198
2018-09-01 2nd Half-Year 2018:00:00;18036
2018-10-01 2nd Half-Year 2018:00:00;17930
2018-11-01 2nd Half-Year 2018:00:00;16966
2018-12-01 2nd Half-Year 2018:00:00;17546
2019-01-01 1st Half-Year 2019:00:00;16865
2019-02-01 1st Half-Year 2019:00:00;15934
2019-03-01 1st Half-Year 2019:00:00;17492
2019-04-01 1st Half-Year 2019:00:00;18556
2019-05-01 1st Half-Year 2019:00:00;20032
2019-06-01 1st Half-Year 2019:00:00;18161
2019-07-01 2nd Half-Year 2019:00:00;21363
2019-08-01 2nd Half-Year 2019:00:00;19583
2019-09-01 2nd Half-Year 2019:00:00;19047
2019-10-01 2nd Half-Year 2019:00:00;19657
2019-11-01 2nd Half-Year 2019:00:00;17800
2019-12-01 2nd Half-Year 2019:00:00;18234
2020-01-01 1st Half-Year 2020:00:00;16520
2020-02-01 1st Half-Year 2020:00:00;15832
2020-03-01 1st Half-Year 2020:00:00;18505
2020-04-01 1st Half-Year 2020:00:00;19140
2020-05-01 1st Half-Year 2020:00:00;18979
